uuid,location,category,sywr,uid,pid,zip,Vertical,SubCategory,Product
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367214,SZVev%2BvsIysQhjRaPZjrkhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60012,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366396,yQ1HDZ2sfDGPpg3sAn8kSBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60013,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366593,eGeZZkexDguT%2BUKatsP5KRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60014,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366066,r%2BV%2FKlc4sFIR%2BI1HuOIbXhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60015,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366449,yham7%2BgJ7nwuKI1nbO8oPxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60016,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367505,PJSeUgR28nPVKr3g%2FUeNmBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60017,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365519,H%2BzwHxw9YGl0YdJGSzp07xLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60018,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367384,yFm90rFl3FZRaGCRGHIPNRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60019,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365386,0NdXhGvs80w8HSANkxD7yBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60020,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365566,LkvfWiHoqsjJQM2jCE%2BqrxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60021,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366325,ZHDOvdqPRvJgV8WaIf%2BrjhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60022,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367004,nyYH%2BgFXjy%2BoC%2BSA75%2BOVBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60025,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365973,cCVJ8xxXN4HBR8GQ2QO58hLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60026,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365262,Y0fWLxHixblzNygSngD7GBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60029,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367453,5tTaDv7CdQyAKcYPL6njhRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60030,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367915,vXqHtDOvrS5WSO0yW7h6ARLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60031,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366320,PP7E8jiUcvDNHvp494ewlRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60033,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366370,T93qZlgfcbmCBla8sZyayRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60034,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366800,pqRTdix1Gtrmg%2FjIoUB0rBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60035,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365444,0YuXN0vVwUPzhP3v4z22SBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60037,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365510,2%2Bj5imTmIQkF1iE6fN0MWBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60038,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367221,IRiiI%2FSSg5sPgrGOs1isDxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60039,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367493,GH5as7ihT62V9IkT%2FCBALxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60040,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365876,kLxCIPCr%2BM49hWc9mlvWoRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60041,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367166,xaTQbwWL67jXHr1TAZRcchLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60042,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365394,gMwb2yzyimReWd7YyFIyUhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60043,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365832,b7ciah0fajatAId2DOTYxBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60044,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366072,A8yHNh1NnkwN4X9v10%2F9%2FxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60045,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29744926,RcmRBA57rymLsAGxbudFORLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60046,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366939,QOgyKTO3JMU6HD7zRItctxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60047,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365371,vtgBZSaoppnYTrVUAAt%2FHRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60048,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365701,FKMUGmsHZafnfbPePuFe0RLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60049,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367561,KZtX7S6eOS%2B5KN5RLXP7bRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60050,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365610,W56gYNyWcr7DghZEmuf95hLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60051,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366696,TIYPzFaiTiy%2B0ntIXsp8AhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60053,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366227,l%2BPCjiKrKbZUHYeDzUKljBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60055,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366501,L%2BxgC5%2F1mWtBeJ%2F%2FX7cCIhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60056,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365378,RJaAf03%2FXossQpt4VKrgShLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60060,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366827,fM3cAT4o%2FQbbWZfA5lm3OBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60061,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367132,hQihbVqPJVr55WMY6iTXGBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60062,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365627,elmGDCrVxS9A5Sp%2BLWPojhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60064,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366356,Fr1ZWi0rf7%2B2v0vZU7bnnxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60065,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29747909,vTgskbXNFohLvCQVckVHbxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60067,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29745151,iP0504KaUUQ7K%2B23rAOyohLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60068,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367433,KObdo6qLvcsuLg6MeS8dOhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60069,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367578,8Ke5%2FERPf6wZVVsN1dg9ihLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60070,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366901,P24JIQ3NNUvo0Hbo3TSsXxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60071,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366709,3Gonwr7JjM1Mt9SMmuN6BxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60072,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365935,RIJVDYxPJK4ax3xbNqzsDhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60073,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365508,Cda8dt1C0mcLkU7o2dZ%2BTxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60074,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366164,SXWyU2UU9qYi6j%2BMPo%2FWWRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60075,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365853,l0BRJp%2FMqwiajwE2f2TLWBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60076,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29745681,Z4i15il7WQneeodD34fXRhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60077,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366025,XwyMNGRAaMeQlc9UscrTUhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60078,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366904,HlPehqy%2BJ9hxjsW48gVQyBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60079,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366344,hYIp4xc0V7O04Zw4jTk55xLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60081,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365535,bRk77ciPFpyQr00S2UQ6WhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60082,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365943,MTWFtk4ymhccrcUA4nFKvhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60083,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366102,Js%2Fh4hrDdaQUpMuwm7UlzxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60084,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29746926,bCk2ix%2BbQFG4uG4E9%2FajjxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60085,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366024,H7k2CB%2BTPEmv1hwT6QNBFhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60086,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367591,UUBHn1KG2fGif9sR22y9kxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60087,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367740,KwAs7gsEJccLyVSndlxjNRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60088,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365548,Pri8FzvyRQ4Yqd4Xwh6OZRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60089,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366873,VoJTUAU2fo3haub0fLVrhhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60090,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366218,c8qECekLF2DJ3YlTghiwtBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60091,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366914,GpqqCs2sUvbFk7iqNL7oBRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60092,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366540,fEUbCpk1Oy%2Fo%2Bp24KfYZcBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60093,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367475,FuITSR5L%2FsDzHv3PNXaLbhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60094,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,29747401,ZXX6A4xbu2Pae6Puxy0zNhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60095,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367856,fuR53aMshsYOlaF0liS2RRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60096,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366716,Kj0fkFo2VjtrTY7vT0E18xLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60097,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366103,1j8iYdD%2BXD1MF8njSQn5WhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60098,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365885,0MRF9bev%2FO3hItrh52bGVhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60099,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366792,HDrY%2FBNK9PRfbYWLoTvgNBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60101,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
